id	prefabName	rate	price	powerupRates
1	id_fish_clownfish	0.125	8	0.001;0.66;0.33
2	id_fish_turtle	0.025	40	0.001;0.66;0.33
3	id_fish_hammershark	0.01	100	0.001;0.66;0.33
4	id_fish_guppy	1	1	0.001;0.66;0.33
5	id_fish_squid	0.1	15	0.001;0.66;0.33
6	id_fish_lionfish	0.02	50	0.001;0.66;0.33
7	id_fish_angelfish	0.016	60	0.001;0.66;0.33
8	id_fish_pufferfish	0.05	20	0.001;0.66;0.33
9	id_fish_goldfish	0.333	3	0.001;0.66;0.33
10	id_fish_jellyfish	0.1	10	0.001;0.66;0.33
11	id_fish_mermaid	0.0067	150	0.001;0.66;0.33
12	id_fish_pterophyllu	0.25	4	0.001;0.66;0.33
13	id_fish_siamese	0.5	2	0.001;0.66;0.33
14	id_fish_lobster	0.033	30	0.001;0.66;0.33
15	id_fish_stingray	0.0125	80	0.001;0.66;0.33
16	id_fish_turtle_gold	0.001	400	0.001;0.66;0.33
17	id_fish_clampfish	0.001	400	0.001;0.66;0.33
