id	type	param1	param2	time	award	questTitle	questDescription
1	0	20	4	120	200	9001	9002
2	0	20	13	120	200	9003	9004
3	0	15	9	120	200	9005	9006
4	0	15	12	120	200	9007	9008
5	0	10	1	120	200	9009	9010
6	0	10	10	180	250	9011	9012
7	0	10	5	180	250	9013	9014
8	0	5	8	180	250	9015	9016
9	0	5	14	180	300	9017	9018
10	0	5	2	180	300	9019	9020
11	0	3	6	240	320	9021	9022
12	0	3	7	240	320	9023	9024
13	0	3	15	240	320	9025	9026
15	0	2	3	240	350	9027	9028
16	0	2	11	240	350	9029	9030
17	1	200	1	90	120	9031	9032
18	1	250	2	100	250	9033	9034
19	1	300	3	120	300	9035	9036
20	1	350	4	120	300	9037	9038
21	1	400	5	124	400	9039	9040
22	1	450	8	149	400	9041	9042
23	1	500	10	179	400	9043	9044
24	2	1000	1	120	200	9045	9046
25	2	1200	2	120	240	9047	9048
26	2	1440	3	180	288	9049	9050
27	2	1500	5	180	300	9051	9052
28	2	1500	10	180	300	9053	9054
29	2	2000	15	180	400	9055	9056
30	2	2500	20	240	500	9057	9058
31	2	3000	25	240	600	9059	9060
32	2	4000	30	240	800	9061	9062
33	2	5000	50	240	1000	9063	9064
