time	routeID
0	002;003;001;004;
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
15	005;006;
16	007;008;
18	
20	
21	
24	
25	
26	011;012;
27	
28	
29	
30	009;010;
31	
32	
33	
34	013;014;
35	
36	
39	
40	
42	
44	
45	
48	
50	
51	
52	
54	
55	
56	
57	
60	
63	
64	
65	
66	
68	
69	
70	
72	
75	
76	
78	
80	
81	
84	
85	
87	
88	
90	
92	
93	
95	
96	
99	
100	
102	
105	
108	
110	
111	
114	
115	
117	
120	
123	
125	
126	
129	
130	
132	
135	
138	
140	
141	
144	
145	
147	
150	
153	
155	
156	
159	
160	
162	
165	
168	
170	
171	
174	
175	
177	
180	
183	
185	
186	
189	
190	
192	
195	
198	
200	
201	
