time	routeID
0	327
1	346
2	
3	208
4	255
5	228
6	
7	346
8	336
9	
10	273
11	214
12	276
13	
14	312
15	334
16	
17	216
18	209
19	211
20	
21	324
22	320
23	
24	238
25	265
26	301
27	
28	352
29	351
30	
31	249
32	230
33	300
34	
35	327
36	319
37	
38	240
39	257
40	269
41	
42	290
43	345
44	
45	237
46	270
47	239
48	
49	282
50	349
51	
52	267
53	212
54	211
55	
56	311
57	282
58	
59	235
60	276
61	228
62	
63	282
64	312
65	
66	233
67	256
68	277
69	
70	335
71	338
72	
73	304
74	309
75	260
76	
77	351
78	315
79	
80	245
81	275
82	212
83	
84	316
85	317
86	
87	203
88	267
89	308
90	
91	282
92	281
93	
94	292
95	302
96	309
97	
98	284
99	345
100	
101	221
102	215
103	261
104	
105	318
106	290
107	
108	308
109	299
110	308
111	
112	349
113	336
114	
115	250
116	257
117	303
118	
119	343
120	321
121	
122	214
123	303
124	273
125	
126	344
127	282
128	
129	239
130	241
131	300
132	
133	283
134	329
135	
136	255
137	215
138	233
139	
140	318
141	290
142	
143	207
144	216
145	222
146	
147	348
148	311
149	
150	212
151	223
152	269
153	
154	340
155	329
156	
157	267
158	254
159	254
160	
161	326
162	286
163	
164	208
165	238
166	263
167	
168	352
169	340
170	
171	219
172	216
173	228
174	
175	337
176	311
177	
178	297
179	263
180	249
181	
182	324
183	325
184	
185	296
186	291
187	302
188	
189	311
190	285
191	
192	292
193	293
194	296
195	
