id	prefabName	rate	price	powerupRates
1	id_fish1	0.125	8	0.001;0.66;0.33
2	id_fish2	0.025	40	0.001;0.66;0.33
3	id_fish3	0.01	100	0.001;0.66;0.33
5	id_fish5	1	1	0.001;0.66;0.33
6	id_fish6	0.1	15	0.001;0.66;0.33
7	id_fish7	0.02	50	0.001;0.66;0.33
8	id_fish8	0.016	60	0.001;0.66;0.33
10	id_fish10	0.05	20	0.001;0.66;0.33
11	id_fish11	0.333	3	0.001;0.66;0.33
12	id_fish12	0.1	10	0.001;0.66;0.33
13	id_fish13	0.0067	150	0.001;0.66;0.33
14	id_fish14	0.25	4	0.001;0.66;0.33
15	id_fish15	0.5	2	0.001;0.66;0.33
16	id_fish16	0.033	30	0.001;0.66;0.33
17	id_fish17	0.0125	80	0.001;0.66;0.33
