Level	XPPerLevel	AccXP	Day	PayoutRate	MaxBet	Gold
1	406	0	0	150	1	50
2	810	406	0	125	1	100
3	1212	1216	1	110	2	100
4	1611	2428	2	100	2	150
5	2006	4039	3	95	3	200
6	2395	6045	4	95	3	250
7	2777	8440	5	95	5	300
8	3152	11217	7	95	5	300
9	3518	14369	9	95	10	350
10	3875	17887	12	90	10	400
11	4221	21762	14	90	15	400
12	4555	25983	17	90	15	450
13	4877	30538	20	90	20	500
14	5186	35415	23	90	20	500
15	5480	40601	26	85	25	550
16	5759	46081	30	85	25	600
17	6023	51840	33	85	30	600
18	6270	57863	37	85	30	650
19	6500	64133	41	85	50	650
20	6712	70633	46	80	50	650
21	6905	77345	50	80	50	700
22	7080	84250	54	80	50	700
23	7235	91330	59	80	50	700
24	7371	98565	64	80	50	750
25	7486	105936	68	80	50	750
26	7581	113422	73	80	50	750
27	7655	121003	78	80	50	750
28	7708	128658	83	80	50	750
29	7739	136366	88	80	50	750
30	7750	144105	93	80	50	800
31	8561	151855	98	80	50	850
32	9370	160416	103	80	50	950
33	10175	169786	110	80	50	1000
34	10973	179961	116	80	50	1100
35	11762	190934	123	80	50	1200
36	12540	202696	131	80	50	1250
37	13305	215236	139	80	50	1350
38	14054	228541	147	80	50	1400
39	14787	242595	157	80	50	1500
40	15500	257382	166	80	50	1550
41	16192	272882	176	80	50	1600
42	16861	289074	186	80	50	1700
43	17504	305935	197	80	50	1750
44	18122	323439	209	80	50	1800
45	18710	341561	220	80	50	1850
46	19269	360271	232	80	50	1950
47	19796	379540	245	80	50	2000
48	20290	399336	258	80	50	2050
49	20749	419626	271	80	50	2050
50	21173	440375	284	80	50	2100
51	21561	461548	298	80	50	2150
52	21910	483109	312	80	50	2200
53	22220	505019	326	80	50	2200
54	22491	527239	340	80	50	2250
55	22722	549730	355	80	50	2250
56	22911	572452	369	80	50	2300
57	23059	595363	384	80	50	2300
58	23165	618422	399	80	50	2300
59	23229	641587	414	80	50	2300
60	23250	664816	429	80	50	2350
61	24872	688066	444	80	50	2550
62	26490	712938	460	80	50	2800
63	28099	739428	477	80	50	3050
64	29695	767527	495	80	50	3300
65	31273	797222	514	80	50	3550
66	32830	828495	535	80	50	3750
67	34359	861325	556	80	50	4000
68	35859	895684	578	80	50	4200
69	37324	931543	601	80	50	4450
70	38750	968867	625	80	50	4650
71	40134	1007617	650	80	50	4850
72	41471	1047751	676	80	50	5050
73	42759	1089222	703	80	50	5250
74	43993	1131981	730	80	50	5450
75	45170	1175974	759	80	50	5600
76	46287	1221144	788	80	50	5800
77	47342	1267431	818	80	50	5950
78	48330	1314773	848	80	50	6100
79	49249	1363103	879	80	50	6200
80	50097	1412352	911	80	50	6350
81	50871	1462449	944	80	50	6450
82	51570	1513320	976	80	50	6550
83	52191	1564890	1010	80	50	6650
84	52733	1617081	1043	80	50	6750
85	53194	1669814	1077	80	50	6800
86	53573	1723008	1112	80	50	6850
87	53868	1776581	1146	80	50	6900
88	54080	1830449	1181	80	50	6950
89	54208	1884529	1216	80	50	6950
90	54250	1938737	1251	80	50	7000
91	54250	1992987	1286	80	50	7000
92	54250	2047237	1321	80	50	7000
93	54250	2101487	1356	80	50	7000
94	54250	2155737	1391	80	50	7000
95	54250	2209987	1426	80	50	7000
96	54250	2264237	1461	80	50	7000
97	54250	2318487	1496	80	50	7000
98	54250	2372737	1531	80	50	7000
99	54250	2426987	1566	80	50	7000
100	54250	2481237	1601	80	50	7000
101	54250	2535487	1636	80	50	7000
102	54250	2589737	1671	80	50	7000
103	54250	2643987	1706	80	50	7000
104	54250	2698237	1741	80	50	7000
105	54250	2752487	1776	80	50	7000
106	54250	2806737	1811	80	50	7000
107	54250	2860987	1846	80	50	7000
108	54250	2915237	1881	80	50	7000
109	54250	2969487	1916	80	50	7000
110	54250	3023737	1951	80	50	7000
111	54250	3077987	1986	80	50	7000
112	54250	3132237	2021	80	50	7000
113	54250	3186487	2056	80	50	7000
114	54250	3240737	2091	80	50	7000
115	54250	3294987	2126	80	50	7000
116	54250	3349237	2161	80	50	7000
117	54250	3403487	2196	80	50	7000
118	54250	3457737	2231	80	50	7000
119	54250	3511987	2266	80	50	7000
120	54250	3566237	2301	80	50	7000
121	54250	3620487	2336	80	50	7000
122	54250	3674737	2371	80	50	7000
123	54250	3728987	2406	80	50	7000
124	54250	3783237	2441	80	50	7000
125	54250	3837487	2476	80	50	7000
126	54250	3891737	2511	80	50	7000
127	54250	3945987	2546	80	50	7000
128	54250	4000237	2581	80	50	7000
129	54250	4054487	2616	80	50	7000
130	54250	4108737	2651	80	50	7000
131	54250	4162987	2686	80	50	7000
132	54250	4217237	2721	80	50	7000
133	54250	4271487	2756	80	50	7000
134	54250	4325737	2791	80	50	7000
135	54250	4379987	2826	80	50	7000
136	54250	4434237	2861	80	50	7000
137	54250	4488487	2896	80	50	7000
138	54250	4542737	2931	80	50	7000
139	54250	4596987	2966	80	50	7000
140	54250	4651237	3001	80	50	7000
141	54250	4705487	3036	80	50	7000
142	54250	4759737	3071	80	50	7000
143	54250	4813987	3106	80	50	7000
144	54250	4868237	3141	80	50	7000
145	54250	4922487	3176	80	50	7000
146	54250	4976737	3211	80	50	7000
147	54250	5030987	3246	80	50	7000
148	54250	5085237	3281	80	50	7000
149	54250	5139487	3316	80	50	7000
150	54250	5193737	3351	80	50	7000
151	54250	5247987	3386	80	50	7000
152	54250	5302237	3421	80	50	7000
153	54250	5356487	3456	80	50	7000
154	54250	5410737	3491	80	50	7000
155	54250	5464987	3526	80	50	7000
156	54250	5519237	3561	80	50	7000
157	54250	5573487	3596	80	50	7000
158	54250	5627737	3631	80	50	7000
159	54250	5681987	3666	80	50	7000
160	54250	5736237	3701	80	50	7000
161	54250	5790487	3736	80	50	7000
162	54250	5844737	3771	80	50	7000
163	54250	5898987	3806	80	50	7000
164	54250	5953237	3841	80	50	7000
165	54250	6007487	3876	80	50	7000
166	54250	6061737	3911	80	50	7000
167	54250	6115987	3946	80	50	7000
168	54250	6170237	3981	80	50	7000
169	54250	6224487	4016	80	50	7000
170	54250	6278737	4051	80	50	7000
171	54250	6332987	4086	80	50	7000
172	54250	6387237	4121	80	50	7000
173	54250	6441487	4156	80	50	7000
174	54250	6495737	4191	80	50	7000
175	54250	6549987	4226	80	50	7000
176	54250	6604237	4261	80	50	7000
177	54250	6658487	4296	80	50	7000
178	54250	6712737	4331	80	50	7000
179	54250	6766987	4366	80	50	7000
180	54250	6821237	4401	80	50	7000
181	54250	6875487	4436	80	50	7000
182	54250	6929737	4471	80	50	7000
183	54250	6983987	4506	80	50	7000
184	54250	7038237	4541	80	50	7000
185	54250	7092487	4576	80	50	7000
186	54250	7146737	4611	80	50	7000
187	54250	7200987	4646	80	50	7000
188	54250	7255237	4681	80	50	7000
189	54250	7309487	4716	80	50	7000
190	54250	7363737	4751	80	50	7000
191	54250	7417987	4786	80	50	7000
192	54250	7472237	4821	80	50	7000
193	54250	7526487	4856	80	50	7000
194	54250	7580737	4891	80	50	7000
195	54250	7634987	4926	80	50	7000
196	54250	7689237	4961	80	50	7000
197	54250	7743487	4996	80	50	7000
198	54250	7797737	5031	80	50	7000
199	54250	7851987	5066	80	50	7000
200	54250	7906237	5101	80	50	7000
201	54250	7960487	5136	80	50	7000
202	54250	8014737	5171	80	50	7000
203	54250	8068987	5206	80	50	7000
204	54250	8123237	5241	80	50	7000
205	54250	8177487	5276	80	50	7000
206	54250	8231737	5311	80	50	7000
207	54250	8285987	5346	80	50	7000
208	54250	8340237	5381	80	50	7000
209	54250	8394487	5416	80	50	7000
210	54250	8448737	5451	80	50	7000
211	54250	8502987	5486	80	50	7000
212	54250	8557237	5521	80	50	7000
213	54250	8611487	5556	80	50	7000
214	54250	8665737	5591	80	50	7000
215	54250	8719987	5626	80	50	7000
216	54250	8774237	5661	80	50	7000
217	54250	8828487	5696	80	50	7000
218	54250	8882737	5731	80	50	7000
219	54250	8936987	5766	80	50	7000
220	54250	8991237	5801	80	50	7000
221	54250	9045487	5836	80	50	7000
222	54250	9099737	5871	80	50	7000
223	54250	9153987	5906	80	50	7000
224	54250	9208237	5941	80	50	7000
225	54250	9262487	5976	80	50	7000
226	54250	9316737	6011	80	50	7000
227	54250	9370987	6046	80	50	7000
228	54250	9425237	6081	80	50	7000
229	54250	9479487	6116	80	50	7000
230	54250	9533737	6151	80	50	7000
231	54250	9587987	6186	80	50	7000
232	54250	9642237	6221	80	50	7000
233	54250	9696487	6256	80	50	7000
234	54250	9750737	6291	80	50	7000
235	54250	9804987	6326	80	50	7000
236	54250	9859237	6361	80	50	7000
237	54250	9913487	6396	80	50	7000
238	54250	9967737	6431	80	50	7000
239	54250	10021987	6466	80	50	7000
240	54250	10076237	6501	80	50	7000
241	54250	10130487	6536	80	50	7000
242	54250	10184737	6571	80	50	7000
243	54250	10238987	6606	80	50	7000
244	54250	10293237	6641	80	50	7000
245	54250	10347487	6676	80	50	7000
246	54250	10401737	6711	80	50	7000
247	54250	10455987	6746	80	50	7000
248	54250	10510237	6781	80	50	7000
249	54250	10564487	6816	80	50	7000
250	54250	10618737	6851	80	50	7000
251	54250	10672987	6886	80	50	7000
252	54250	10727237	6921	80	50	7000
253	54250	10781487	6956	80	50	7000
254	54250	10835737	6991	80	50	7000
255	54250	10889987	7026	80	50	7000
256	54250	10944237	7061	80	50	7000
257	54250	10998487	7096	80	50	7000
258	54250	11052737	7131	80	50	7000
259	54250	11106987	7166	80	50	7000
260	54250	11161237	7201	80	50	7000
261	54250	11215487	7236	80	50	7000
