time	routeID
0	334
1	321
2	
3	255
4	265
5	254
6	
7	282
8	288
9	
10	227
11	242
12	240
13	
14	315
15	290
16	
17	255
18	273
19	245
20	
21	326
22	340
23	
24	203
25	227
26	238
27	
28	285
29	348
30	
31	299
32	302
33	216
34	
35	322
36	336
37	
38	292
39	238
40	305
41	
42	287
43	322
44	
45	228
46	227
47	303
48	
49	334
50	311
51	
52	229
53	308
54	204
55	
56	347
57	322
58	
59	221
60	257
61	305
62	
63	285
64	325
65	
66	230
67	280
68	279
69	
70	341
71	335
72	
73	292
74	235
75	248
76	
77	281
78	334
79	
80	260
81	223
82	221
83	
84	312
85	342
86	
87	209
88	203
89	241
90	
91	314
92	286
93	
94	210
95	292
96	223
97	
98	336
99	228
100	
101	223
102	208
103	207
104	
105	329
106	326
107	
108	237
109	234
110	218
111	
112	287
113	312
114	
115	208
116	242
117	209
118	
119	286
120	347
121	
122	246
123	295
124	267
125	
126	350
127	327
128	
129	234
130	212
131	296
132	
133	287
134	345
135	
136	235
137	279
138	266
139	
140	290
141	347
142	
143	246
144	269
145	255
146	
147	326
148	336
149	
150	268
151	299
152	273
153	
154	287
155	347
156	
157	217
158	265
159	210
160	
161	289
162	330
163	
164	305
165	261
166	262
167	
168	333
169	335
170	
171	210
172	293
173	206
174	
175	311
176	333
177	
178	268
179	202
180	231
181	
182	314
183	289
184	
185	294
186	302
187	216
188	
189	346
190	285
191	
192	212
193	217
194	203
195	
