time	routeID
0	111;
1	122;
2	//test
3	011;
4	062;
5	043;
6	
7	143;
8	144;
9	
10	034;
11	055;
12	026;
13	
14	145;
15	086;
16	
17	007;
18	078;
19	099;
20	
21	137;
22	112;
23	
24	110;
25	012;
26	063;
27	
28	123;
29	144;
30	
31	044;
32	035;
33	056;
34	
35	085;
36	136;
37	
38	027;
39	008;
40	079;
41	
42	113;
43	124;
44	
45	100;
46	091;
47	102;
48	
49	145;
50	086;
51	
52	013;
53	064;
54	045;
55	
56	137;
57	114;
58	
59	036;
60	057;
61	028;
62	
63	125;
64	146;
65	
66	011;
67	062;
68	043;
69	
70	087;
71	138;
72	
73	034;
74	055;
75	026;
76	
77	115;
78	126;
79	
80	007;
81	078;
82	099;
83	
84	147;
85	088;
86	
87	110;
88	012;
89	063;
90	
91	139;
92	116;
93	
94	044;
95	035;
96	056;
97	
98	127;
99	148;
100	
101	027;
102	008;
103	079;
104	
105	089;
106	140;
107	
108	100;
109	091;
110	102;
111	
112	118;
113	129;
114	
115	013;
116	064;
117	045;
118	
119	150;
120	081;
121	
122	036;
123	057;
124	028;
125	
126	111;
127	122;
128	
129	011;
130	062;
131	043;
132	
133	143;
134	144;
135	
136	034;
137	055;
138	026;
139	
140	145;
141	086;
142	
143	007;
144	078;
145	099;
146	
147	137;
148	112;
149	
150	110;
151	012;
152	063;
153	
154	123;
155	144;
156	
157	044;
158	035;
159	056;
160	
161	085;
162	136;
163	
164	027;
165	008;
166	079;
167	
168	113;
169	124;
170	
171	100;
172	091;
173	102;
174	
175	145;
176	086;
177	
178	013;
179	064;
180	045;
181	
182	137;
183	114;
184	
185	036;
186	057;
187	028;
188	
189	125;
190	146;
191	
192	011;
193	062;
194	043;
195	
196	087;
197	138;
198	
199	034;
200	055;
201	026;
202	
203	115;
204	126;
205	
206	007;
207	078;
208	099;
209	
210	147;
211	088;
212	
213	110;
214	012;
215	063;
216	
217	139;
218	116;
219	
220	044;
221	035;
222	056;
223	
224	127;
225	148;
226	
227	027;
228	008;
229	079;
230	
231	089;
232	140;
233	
234	100;
235	091;
236	102;
237	
238	118;
