time	routeID
0	325
1	337
2	
3	296
4	267
5	245
6	
7	326
8	332
9	
10	227
11	309
12	309
13	
14	335
15	327
16	
17	310
18	271
19	207
20	
21	333
22	321
23	
24	236
25	229
26	205
27	
28	316
29	339
30	
31	204
32	240
33	233
34	
35	285
36	289
37	
38	294
39	220
40	251
41	
42	285
43	318
44	
45	262
46	239
47	254
48	
49	350
50	317
51	
52	266
53	229
54	255
55	
56	347
57	313
58	
59	303
60	308
61	237
62	
63	343
64	340
65	
66	303
67	207
68	238
69	
70	338
71	312
72	
73	261
74	263
75	256
76	
77	323
78	313
79	
80	222
81	275
82	301
83	
84	334
85	313
86	
87	233
88	251
89	264
90	
91	290
92	344
93	
94	257
95	249
96	219
97	
98	325
99	346
100	
101	306
102	218
103	267
104	
105	313
106	343
107	
108	247
109	308
110	269
111	
112	325
113	311
114	
115	232
116	268
117	276
118	
119	348
120	343
121	
122	235
123	261
124	231
125	
126	311
127	326
128	
129	258
130	259
131	239
132	
133	288
134	285
135	
136	291
137	204
138	254
139	
140	341
141	333
142	
143	202
144	274
145	248
146	
147	340
148	315
149	
150	278
151	216
152	268
153	
154	347
155	331
156	
157	270
158	260
159	255
160	
161	340
162	321
163	
164	265
165	304
166	211
167	
168	334
169	330
170	
171	306
172	214
173	219
174	
175	283
176	335
177	
178	263
179	250
180	309
181	
182	312
183	284
184	
185	225
186	263
187	279
188	
189	327
190	285
191	
192	277
193	303
194	233
195	
