time	routeID
0	001;
1	
2	//test
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	002;
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	003;
30	
31	
32	
33	
34	
35	
36	
37	
38	
39	
40	
41	
42	
43	004;
44	
45	
46	
47	
48	
49	
50	
51	
52	
53	
54	005;
55	
56	
57	
58	
59	
60	
61	
62	
63	
64	
65	
66	006;
67	
68	
69	
70	003;
71	002;
72	
73	001;
74	002;
75	003;
76	
77	004;
78	005;
79	
80	006;
81	007;
82	008;
83	
84	009;
85	008;
86	
87	007;
88	006;
89	005;
90	
91	004;
92	003;
93	
94	002;
95	001;
96	002;
97	
98	003;
99	004;
100	
101	005;
102	008;
103	079;
104	
105	089;
106	140;
107	
108	100;
109	091;
110	102;
111	
112	118;
113	129;
114	
115	013;
116	064;
117	045;
118	
119	150;
120	081;
121	
122	036;
123	057;
124	028;
125	
126	111;
127	122;
128	
129	011;
130	062;
131	043;
132	
133	143;
134	144;
135	
136	034;
137	055;
138	026;
139	
140	145;
141	086;
142	
143	007;
144	078;
145	099;
146	
147	137;
148	112;
149	
150	110;
151	012;
152	063;
153	
154	123;
155	144;
156	
157	044;
158	035;
159	056;
160	
161	085;
162	136;
163	
164	027;
165	008;
166	079;
167	
168	113;
169	124;
170	
171	100;
172	091;
173	102;
174	
175	145;
176	086;
177	
178	013;
179	064;
180	045;
181	
182	137;
183	114;
184	
185	036;
186	057;
187	028;
188	
189	125;
190	146;
191	
192	011;
193	062;
194	043;
195	
196	087;
197	138;
198	
199	034;
200	055;
201	026;
202	
203	115;
204	126;
205	
206	007;
207	078;
208	099;
209	
210	147;
211	088;
212	
213	110;
214	012;
215	063;
216	
217	139;
218	116;
219	
220	044;
221	035;
222	056;
223	
224	127;
225	148;
226	
227	027;
228	008;
229	079;
230	
231	089;
232	140;
233	
234	100;
235	091;
236	102;
237	
238	118;
