time	routeID
0	289
1	281
2	
3	293
4	217
5	258
6	
7	343
8	336
9	
10	258
11	233
12	270
13	
14	348
15	281
16	
17	258
18	295
19	264
20	
21	290
22	342
23	
24	205
25	249
26	305
27	
28	332
29	283
30	
31	278
32	227
33	271
34	
35	315
36	334
37	
38	264
39	232
40	299
41	
42	334
43	336
44	
45	308
46	306
47	212
48	
49	321
50	323
51	
52	276
53	260
54	235
55	
56	346
57	325
58	
59	250
60	266
61	267
62	
63	349
64	328
65	
66	259
67	201
68	239
69	
70	333
71	341
72	
73	218
74	295
75	304
76	
77	342
78	343
79	
80	310
81	231
82	240
83	
84	290
85	342
86	
87	265
88	218
89	229
90	
91	344
92	345
93	
94	269
95	296
96	276
97	
98	283
99	144
100	
101	230
102	306
103	275
104	
105	327
106	348
107	
108	305
109	224
110	293
111	
112	332
113	344
114	
115	260
116	266
117	220
118	
119	341
120	323
121	
122	269
123	222
124	205
125	
126	289
127	350
128	
129	308
130	204
131	274
132	
133	283
134	285
135	
136	243
137	296
138	224
139	
140	338
141	316
142	
143	205
144	300
145	253
146	
147	314
148	344
149	
150	238
151	256
152	308
153	
154	287
155	328
156	
157	223
158	231
159	225
160	
161	341
162	290
163	
164	239
165	226
166	263
167	
168	339
169	348
170	
171	219
172	297
173	272
174	
175	287
176	286
177	
178	205
179	245
180	305
181	
182	332
183	338
184	
185	206
186	271
187	269
188	
189	333
190	347
191	
192	227
193	220
194	242
195	
